UTCDateTime ,pm2_5_atm
2024/03/18T00:01:13z,0.15
2024/03/18T00:03:12z,0
2024/03/18T00:04:53z,0
2024/03/18T00:06:53z,0.1
2024/03/18T00:08:53z,0.02
2024/03/18T00:10:53z,0
2024/03/18T00:12:53z,0
2024/03/18T00:14:53z,0
2024/03/18T00:16:53z,0.19
2024/03/18T00:18:53z,0.23
2024/03/18T00:20:53z,0.25
2024/03/18T00:22:53z,0.05
2024/03/18T00:24:34z,0
2024/03/18T00:26:34z,0
2024/03/18T00:28:34z,0.26
2024/03/18T00:30:34z,0.16
2024/03/18T00:32:34z,0
2024/03/18T00:34:34z,0.03
2024/03/18T00:36:34z,0.24
2024/03/18T00:38:34z,0.3
2024/03/18T00:40:34z,0.16
2024/03/18T00:42:34z,0.08
2024/03/18T00:44:15z,0.2
2024/03/18T00:46:15z,0.1
2024/03/18T00:48:15z,0.18
2024/03/18T00:50:15z,0.16
2024/03/18T00:52:15z,0
2024/03/18T00:54:15z,0
2024/03/18T00:56:15z,0.39
2024/03/18T00:58:15z,0.36
2024/03/18T01:00:15z,0.54
2024/03/18T01:02:15z,0.9
2024/03/18T01:03:56z,0.13
2024/03/18T01:05:56z,0.78
2024/03/18T01:07:56z,0.65
2024/03/18T01:09:56z,0.7
2024/03/18T01:11:56z,0.29
2024/03/18T01:13:56z,0.71
2024/03/18T01:15:56z,0.67
2024/03/18T01:17:56z,0.55
2024/03/18T01:19:56z,0.81
2024/03/18T01:21:56z,0.63
2024/03/18T01:23:36z,0.51
2024/03/18T01:25:36z,0.68
2024/03/18T01:27:36z,0.95
2024/03/18T01:29:36z,0.59
2024/03/18T01:31:36z,0.62
2024/03/18T01:33:36z,0.71
2024/03/18T01:35:36z,0.79
2024/03/18T01:37:36z,0.35
2024/03/18T01:39:36z,0.76
2024/03/18T01:41:36z,0.9
2024/03/18T01:43:16z,0.91
2024/03/18T01:45:16z,0.64
2024/03/18T01:47:16z,0.73
2024/03/18T01:49:16z,0.64
2024/03/18T01:51:16z,0.76
2024/03/18T01:53:16z,0.74
2024/03/18T01:55:16z,0.6
2024/03/18T01:57:16z,0.8
2024/03/18T01:59:16z,0.76
2024/03/18T02:01:16z,0.23
2024/03/18T02:02:58z,0
2024/03/18T02:04:58z,0.63
2024/03/18T02:06:58z,0.23
2024/03/18T02:08:58z,0.49
2024/03/18T02:10:58z,0.71
2024/03/18T02:12:58z,0.71
2024/03/18T02:14:58z,0.31
2024/03/18T02:16:58z,0.46
2024/03/18T02:18:58z,0.6
2024/03/18T02:20:58z,0.7
2024/03/18T02:22:39z,0.76
2024/03/18T02:24:39z,0.55
2024/03/18T02:26:39z,0.33
2024/03/18T02:28:39z,0.38
2024/03/18T02:30:39z,0.42
2024/03/18T02:32:39z,0.63
2024/03/18T02:34:39z,0.21
2024/03/18T02:36:39z,0.73
2024/03/18T02:38:39z,0.26
2024/03/18T02:40:39z,0.63
2024/03/18T02:42:20z,0.87
2024/03/18T02:44:20z,0.47
2024/03/18T02:46:20z,0.67
2024/03/18T02:48:20z,0.64
2024/03/18T02:50:20z,0.83
2024/03/18T02:52:20z,0.47
2024/03/18T02:54:20z,0.48
2024/03/18T02:56:20z,0.68
2024/03/18T02:58:20z,0.65
2024/03/18T03:00:20z,0.71
2024/03/18T03:02:01z,0.74
2024/03/18T03:04:01z,0.98
2024/03/18T03:06:01z,0.53
2024/03/18T03:08:01z,0.89
2024/03/18T03:10:01z,0.46
2024/03/18T03:12:01z,0.48
2024/03/18T03:14:01z,0.88
2024/03/18T03:16:01z,0.82
2024/03/18T03:18:01z,0.54
2024/03/18T03:20:01z,0.83
2024/03/18T03:21:42z,0.83
2024/03/18T03:23:42z,0.76
2024/03/18T03:25:42z,0.4
2024/03/18T03:27:42z,0.12
2024/03/18T03:29:42z,0.4
2024/03/18T03:31:42z,0.41
2024/03/18T03:33:42z,0.32
2024/03/18T03:35:42z,0.2
2024/03/18T03:37:42z,0.26
2024/03/18T03:39:42z,0.25
2024/03/18T03:41:23z,0.33
2024/03/18T03:43:23z,0.61
2024/03/18T03:45:23z,0.33
2024/03/18T03:47:23z,0.21
2024/03/18T03:49:23z,0.79
2024/03/18T03:51:23z,1.8
2024/03/18T03:53:23z,1.03
2024/03/18T03:55:23z,0.14
2024/03/18T03:57:23z,0.18
2024/03/18T03:59:23z,0.05
2024/03/18T04:01:04z,0.07
2024/03/18T04:03:04z,0.25
2024/03/18T04:05:04z,0.05
2024/03/18T04:07:04z,0.12
2024/03/18T04:09:04z,0.15
2024/03/18T04:11:04z,0.03
2024/03/18T04:13:04z,0
2024/03/18T04:15:04z,0
2024/03/18T04:17:04z,0
2024/03/18T04:19:04z,0
2024/03/18T04:20:44z,0
2024/03/18T04:22:44z,0.12
2024/03/18T04:24:44z,0
2024/03/18T04:26:44z,0
2024/03/18T04:28:44z,0
2024/03/18T04:30:44z,0.24
2024/03/18T04:32:44z,0.16
2024/03/18T04:34:44z,0
2024/03/18T04:36:44z,0.05
2024/03/18T04:38:44z,0.14
2024/03/18T04:40:24z,0.17
2024/03/18T04:42:24z,0.86
2024/03/18T04:44:24z,0.61
2024/03/18T04:46:24z,0.7
2024/03/18T04:48:24z,2.29
2024/03/18T04:50:24z,0.81
2024/03/18T04:52:24z,1.64
2024/03/18T04:54:24z,1.29
2024/03/18T04:56:24z,2.41
2024/03/18T04:58:24z,1.07
2024/03/18T05:00:05z,4.11
2024/03/18T05:02:05z,12.36
2024/03/18T05:04:05z,28.89
2024/03/18T05:06:05z,25.12
2024/03/18T05:08:05z,8.51
2024/03/18T05:10:05z,7.41
2024/03/18T05:12:05z,7.17
2024/03/18T05:14:05z,11.8
2024/03/18T05:16:05z,6.77
2024/03/18T05:18:05z,10.68
2024/03/18T05:19:45z,4.84
2024/03/18T05:21:45z,3.29
2024/03/18T05:23:45z,4.61
2024/03/18T05:25:45z,3.11
2024/03/18T05:27:45z,2.9
2024/03/18T05:29:45z,2.22
2024/03/18T05:31:45z,1.75
2024/03/18T05:33:45z,1.11
2024/03/18T05:35:45z,1.03
2024/03/18T05:37:45z,0.79
2024/03/18T05:39:25z,0.33
2024/03/18T05:41:25z,0.48
2024/03/18T05:43:25z,0.52
2024/03/18T05:45:25z,0.82
