"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2#5_aqi_cf_1","pm2#5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2#5_aqi_cf_1_b","pm2#5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","p_10_0_um_b","gas"
"2024/03/11T22:22:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,9,14,868.78,NA,26352,0,100,0.09,0.89,1.36,0.09,0.89,1.36,4,4,184.09,50.41,11.05,4.16,0.61,0.11,0,1.07,1.14,0,1.07,1.14,4,4,197.44,56.05,12.95,3.84,0,0,NA
"2024/03/11T22:24:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,14,868.79,0.04,26264,0,220,0.12,0.85,1.76,0.12,0.85,1.76,4,4,234.81,68,11.78,4.86,1.34,0.54,0.02,0.3,1.38,0.02,0.3,1.38,1,1,185.04,52.14,12.52,4.09,1.59,0.32,154.47
"2024/03/11T22:26:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,13,868.84,0.04,26264,0,340,0,0.1,0.64,0,0.1,0.64,0,0,176.28,51.76,7.52,1.67,0.78,0.43,0,0.08,0.42,0,0.08,0.42,0,0,111.31,28.2,5.08,0.71,0.46,0.46,163.94
"2024/03/11T22:28:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,13,868.81,0.04,26264,0,460,0,0.32,0.62,0,0.32,0.62,1,1,187.39,54,6.25,1.09,0.79,0.23,0.05,0.1,0.1,0.05,0.1,0.1,0,0,169.42,48.36,6.36,0.27,0,0,NA
"2024/03/11T22:30:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,13,868.83,0.04,26264,0,580,0.34,0.69,1.05,0.34,0.69,1.05,3,3,228.81,66.37,8.17,1.49,0.9,0.32,0.05,0.24,0.44,0.05,0.24,0.44,1,1,148.98,40.25,8.61,0.36,0.25,0.25,152.61
"2024/03/11T22:32:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,8,13,868.85,0.04,26264,0,700,0.29,0.58,1.37,0.29,0.58,1.37,2,2,244.73,60.49,6.98,1.49,1,0.49,0,0.2,0.2,0,0.2,0.2,1,1,174.27,50.07,7.79,1.34,0,0,147.43
"2024/03/11T22:34:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,8,13,868.82,0.04,26264,0,820,0.16,0.65,1.35,0.16,0.65,1.35,3,3,225.79,62.35,7.68,2.21,1.09,0.25,0,0.02,0.52,0,0.02,0.52,0,0,182.12,52.41,7.55,1.81,0.93,0.26,145.86
"2024/03/11T22:36:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,13,868.82,0.04,26264,0,940,0,0.55,1.12,0,0.55,1.12,2,2,211.29,60.5,11.89,2.23,0.68,0.48,0.08,0.44,0.58,0.08,0.44,0.58,2,2,176.29,48.92,7.58,1.22,0.46,0.24,141.4
"2024/03/11T22:38:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,13,868.79,0.04,26264,0,1060,0,0.27,1.15,0,0.27,1.15,1,1,179.8,50.71,5.86,1.98,1.24,0.37,0,0.07,0.29,0,0.07,0.29,0,0,156,44.19,5.39,1.36,0.32,0.32,141.23
"2024/03/11T22:40:49z","48:3f:da:c9:4f:4",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,13,868.8,0.04,25640,0,1180,0,0.31,0.73,0,0.31,0.73,1,1,159.15,43.88,7.1,1.22,0.39,0.39,0,0.64,1.43,0,0.64,1.43,3,3,169.98,47.89,9.46,2.79,1.11,0.91,142.53
