"time","GC9_PM2_5"
"2024/03/11T22:22:49z",1.4
"2024/03/11T22:24:49z",1.34
"2024/03/11T22:26:49z",0.71
"2024/03/11T22:28:49z",0.88
"2024/03/11T22:30:49z",0.76
"2024/03/11T22:32:49z",0.78
"2024/03/11T22:34:49z",0.65
"2024/03/11T22:36:49z",0.04
"2024/03/11T22:38:49z",0.54
"2024/03/11T22:40:49z",0.33
"2024/03/11T22:42:30z",0.33
"2024/03/11T22:44:30z",0.78
"2024/03/11T22:46:30z",0.51
"2024/03/11T22:48:30z",1.03
"2024/03/11T22:50:30z",0.69
"2024/03/11T22:52:30z",0.08
"2024/03/11T22:54:30z",0.45
"2024/03/11T22:56:30z",0.46
"2024/03/11T22:58:30z",0.67
"2024/03/11T23:00:30z",0.86
"2024/03/11T23:02:11z",0.58
"2024/03/11T23:04:11z",0.2
"2024/03/11T23:06:11z",0.59
"2024/03/11T23:08:11z",0.51
"2024/03/11T23:10:11z",0.6
"2024/03/11T23:12:10z",0.97
"2024/03/11T23:14:10z",0.82
"2024/03/11T23:16:10z",0.96
"2024/03/11T23:18:10z",0.72
"2024/03/11T23:20:10z",1.21
"2024/03/11T23:21:51z",0.87
"2024/03/11T23:23:51z",0.58
"2024/03/11T23:25:51z",0.84
"2024/03/11T23:27:51z",1.12
"2024/03/11T23:29:51z",1.5
"2024/03/11T23:31:51z",1.05
"2024/03/11T23:33:51z",0.62
"2024/03/11T23:35:51z",1.07
"2024/03/11T23:37:51z",1.61
"2024/03/11T23:39:51z",1.25
"2024/03/11T23:41:32z",0.31
"2024/03/11T23:43:32z",1.4
"2024/03/11T23:45:32z",1.28
"2024/03/11T23:47:32z",1.14
"2024/03/11T23:49:32z",1.09
"2024/03/11T23:51:32z",1.15
"2024/03/11T23:53:32z",1.34
"2024/03/11T23:55:32z",1.04
"2024/03/11T23:57:32z",1.55
"2024/03/11T23:59:32z",1.29
"2024/03/12T00:01:13z",1.49
"2024/03/12T00:03:13z",1.42
"2024/03/12T00:05:13z",1.54
"2024/03/12T00:07:13z",1.75
"2024/03/12T00:09:13z",1.27
"2024/03/12T00:11:13z",1.66
"2024/03/12T00:13:13z",1.34
"2024/03/12T00:15:13z",1.62
"2024/03/12T00:17:13z",1.64
"2024/03/12T00:19:13z",1.76
"2024/03/12T00:20:53z",0.93
"2024/03/12T00:22:53z",1.46
"2024/03/12T00:24:53z",1.16
"2024/03/12T00:26:53z",1.69
"2024/03/12T00:28:53z",1.42
"2024/03/12T00:30:53z",1.12
"2024/03/12T00:32:53z",1.57
"2024/03/12T00:34:53z",1.33
"2024/03/12T00:36:53z",1.34
"2024/03/12T00:38:53z",1.49
"2024/03/12T00:40:34z",1.67
"2024/03/12T00:42:34z",1.53
"2024/03/12T00:44:34z",1.52
"2024/03/12T00:46:34z",1.8
"2024/03/12T00:48:34z",1.44
"2024/03/12T00:50:34z",1.49
"2024/03/12T00:52:34z",1.31
"2024/03/12T00:54:34z",1.62
"2024/03/12T00:56:34z",1.29
"2024/03/12T00:58:34z",1.39
"2024/03/12T01:00:14z",2.42
"2024/03/12T01:02:14z",2.02
"2024/03/12T01:04:14z",2.11
"2024/03/12T01:06:14z",2.02
"2024/03/12T01:08:14z",2.12
"2024/03/12T01:10:14z",2.36
"2024/03/12T01:12:14z",1.66
"2024/03/12T01:14:14z",1.77
"2024/03/12T01:16:14z",1.21
"2024/03/12T01:18:14z",1.98
"2024/03/12T01:19:55z",1.38
"2024/03/12T01:21:55z",1.51
"2024/03/12T01:23:55z",1.69
"2024/03/12T01:25:55z",1.98
"2024/03/12T01:27:55z",1.48
"2024/03/12T01:29:55z",1.73
"2024/03/12T01:31:55z",2.76
"2024/03/12T01:33:55z",2.37
"2024/03/12T01:35:55z",2.33
"2024/03/12T01:37:55z",2.37
"2024/03/12T01:39:35z",2.69
"2024/03/12T01:41:35z",1.85
"2024/03/12T01:43:35z",1.66
"2024/03/12T01:45:35z",2
"2024/03/12T01:47:35z",1.69
"2024/03/12T01:49:35z",1.37
"2024/03/12T01:51:35z",1.84
"2024/03/12T01:53:35z",2.07
"2024/03/12T01:55:35z",2.75
"2024/03/12T01:57:35z",3.47
"2024/03/12T01:59:15z",3.4
"2024/03/12T02:01:15z",2.03
"2024/03/12T02:03:15z",2.56
"2024/03/12T02:05:15z",1.4
"2024/03/12T02:07:15z",1.81
"2024/03/12T02:09:15z",1.08
"2024/03/12T02:11:15z",1.3
"2024/03/12T02:13:15z",0.98
"2024/03/12T02:15:15z",1.55
"2024/03/12T02:17:15z",2.65
"2024/03/12T02:18:56z",2.83
"2024/03/12T02:20:56z",3.55
"2024/03/12T02:22:56z",2.47
"2024/03/12T02:24:56z",2.45
"2024/03/12T02:26:56z",1.59
"2024/03/12T02:28:56z",1.9
"2024/03/12T02:30:56z",2
"2024/03/12T02:32:56z",1.45
"2024/03/12T02:34:56z",1.45
"2024/03/12T02:36:56z",1.07
"2024/03/12T02:38:36z",0.82
"2024/03/12T02:40:36z",1.81
"2024/03/12T02:42:36z",1.14
"2024/03/12T02:44:36z",1.18
"2024/03/12T02:46:36z",1.03
"2024/03/12T02:48:36z",1.1
"2024/03/12T02:50:36z",1.35
"2024/03/12T02:52:36z",1.19
"2024/03/12T02:54:36z",1.03
"2024/03/12T02:56:36z",1.09
"2024/03/12T02:58:17z",0.87
"2024/03/12T03:00:17z",1.17
"2024/03/12T03:02:17z",0.86
"2024/03/12T03:04:17z",0.96
"2024/03/12T03:06:17z",1.18
"2024/03/12T03:08:17z",1.28
"2024/03/12T03:10:17z",1
"2024/03/12T03:12:17z",1.38
"2024/03/12T03:14:17z",1.55
"2024/03/12T03:16:17z",1.18
"2024/03/12T03:17:57z",1.42
"2024/03/12T03:19:57z",2.08
"2024/03/12T03:21:57z",1.46
"2024/03/12T03:23:57z",1.48
"2024/03/12T03:25:57z",1.9
"2024/03/12T03:27:57z",1.66
"2024/03/12T03:29:57z",1.05
"2024/03/12T03:31:57z",1.27
"2024/03/12T03:33:57z",1.07
"2024/03/12T03:35:57z",1.3
"2024/03/12T03:37:37z",1.2
"2024/03/12T03:39:37z",1.15
"2024/03/12T03:41:37z",1.41
"2024/03/12T03:43:37z",0.91
"2024/03/12T03:45:37z",1.15
"2024/03/12T03:47:37z",1.17
"2024/03/12T03:49:37z",0.45
"2024/03/12T03:51:37z",1.02
"2024/03/12T03:53:37z",0.98
"2024/03/12T03:55:37z",1.42
"2024/03/12T03:57:17z",1.51
"2024/03/12T03:59:17z",1.05
"2024/03/12T04:01:17z",0.92
"2024/03/12T04:03:17z",1.35
"2024/03/12T04:05:17z",1.1
"2024/03/12T04:07:17z",0.72
"2024/03/12T04:09:17z",0.59
"2024/03/12T04:11:17z",1.02
"2024/03/12T04:13:17z",0.92
"2024/03/12T04:15:17z",1.08
"2024/03/12T04:16:57z",1.07
"2024/03/12T04:18:57z",1.36
"2024/03/12T04:20:57z",1.75
"2024/03/12T04:22:57z",1.61
"2024/03/12T04:24:57z",1.98
"2024/03/12T04:26:57z",1.7
"2024/03/12T04:28:57z",1.85
"2024/03/12T04:30:57z",1.36
"2024/03/12T04:32:57z",1.29
"2024/03/12T04:34:57z",1.22
"2024/03/12T04:36:37z",1
"2024/03/12T04:38:37z",1.37
"2024/03/12T04:40:37z",1.56
"2024/03/12T04:42:37z",0.96
"2024/03/12T04:44:37z",1.58
"2024/03/12T04:46:37z",1.05
"2024/03/12T04:48:37z",1.41
"2024/03/12T04:50:37z",1.61
"2024/03/12T04:52:37z",1.23
"2024/03/12T04:54:37z",0.83
"2024/03/12T04:56:18z",0.87
"2024/03/12T04:58:18z",0.93
"2024/03/12T05:00:18z",0.93
"2024/03/12T05:02:18z",1.24
"2024/03/12T05:04:18z",1.25
"2024/03/12T05:06:18z",1.47
"2024/03/12T05:08:18z",2.12
"2024/03/12T05:10:18z",2.3
"2024/03/12T05:12:18z",2.25
"2024/03/12T05:14:18z",1.97
"2024/03/12T05:15:59z",1.07
"2024/03/12T05:17:59z",1.14
"2024/03/12T05:19:59z",1.21
"2024/03/12T05:21:59z",1.34
"2024/03/12T05:23:59z",1.43
"2024/03/12T05:25:59z",1
"2024/03/12T05:27:59z",0.95
"2024/03/12T05:29:59z",1.04
"2024/03/12T05:31:59z",1.54
"2024/03/12T05:33:59z",1.58
"2024/03/12T05:35:41z",1.09
"2024/03/12T05:37:41z",0.75
"2024/03/12T05:39:41z",0.88
"2024/03/12T05:41:41z",1
"2024/03/12T05:43:41z",0.74
"2024/03/12T05:45:41z",0.92
"2024/03/12T05:47:41z",0.98
"2024/03/12T05:49:41z",1
"2024/03/12T05:51:41z",0.83
"2024/03/12T05:53:41z",0.9
"2024/03/12T05:55:22z",0.84
"2024/03/12T05:57:22z",0.92
"2024/03/12T05:59:22z",0.9
"2024/03/12T06:01:22z",0.73
"2024/03/12T06:03:22z",0.41
"2024/03/12T06:05:22z",0.8
"2024/03/12T06:07:22z",0.97
"2024/03/12T06:09:22z",1.09
"2024/03/12T06:11:22z",0.83
"2024/03/12T06:13:22z",1.08
"2024/03/12T06:15:03z",0.89
"2024/03/12T06:17:03z",1.48
"2024/03/12T06:19:03z",0.83
"2024/03/12T06:21:03z",0.79
"2024/03/12T06:23:03z",1.14
"2024/03/12T06:25:03z",1.14
"2024/03/12T06:27:03z",0.6
"2024/03/12T06:29:03z",0.71
"2024/03/12T06:31:03z",1.17
"2024/03/12T06:33:03z",0.97
"2024/03/12T06:34:43z",0.96
"2024/03/12T06:36:43z",1.15
"2024/03/12T06:38:43z",0.66
"2024/03/12T06:40:43z",0.89
"2024/03/12T06:42:43z",0.8
"2024/03/12T06:44:43z",0.83
"2024/03/12T06:46:43z",0.96
"2024/03/12T06:48:43z",1.02
"2024/03/12T06:50:43z",0.41
"2024/03/12T06:52:43z",0.85
"2024/03/12T06:54:23z",0.78
"2024/03/12T06:56:23z",0.57
"2024/03/12T06:58:23z",0.68
"2024/03/12T07:00:23z",1.46
"2024/03/12T07:02:23z",0.97
