time,GC2_PM2_5
2024/03/11T22:22:40z,0.2
2024/03/11T22:24:40z,0.6
2024/03/11T22:26:40z,0.09
2024/03/11T22:28:40z,0.25
2024/03/11T22:30:40z,0.49
2024/03/11T22:32:40z,0.62
2024/03/11T22:34:40z,0.59
2024/03/11T22:36:40z,0.26
2024/03/11T22:38:40z,0.23
2024/03/11T22:40:40z,0.35
2024/03/11T22:42:20z,0.15
2024/03/11T22:44:20z,0.66
2024/03/11T22:46:20z,0.66
2024/03/11T22:48:20z,0.31
2024/03/11T22:50:20z,0.28
2024/03/11T22:52:20z,0.08
2024/03/11T22:54:20z,0
2024/03/11T22:56:20z,0.42
2024/03/11T22:58:20z,0.25
2024/03/11T23:00:20z,0.37
2024/03/11T23:02:01z,0.33
2024/03/11T23:04:01z,0.59
2024/03/11T23:06:01z,0.21
2024/03/11T23:08:01z,0.51
2024/03/11T23:10:01z,0.4
2024/03/11T23:12:01z,0.48
2024/03/11T23:14:01z,0.67
2024/03/11T23:16:01z,0.44
2024/03/11T23:18:01z,0.25
2024/03/11T23:20:01z,0.8
2024/03/11T23:21:41z,0.29
2024/03/11T23:23:41z,0.68
2024/03/11T23:25:41z,0.55
2024/03/11T23:27:41z,0.8
2024/03/11T23:29:41z,0.39
2024/03/11T23:31:41z,0.78
2024/03/11T23:33:41z,0.88
2024/03/11T23:35:41z,0.82
2024/03/11T23:37:41z,1.05
2024/03/11T23:39:41z,0.59
2024/03/11T23:41:22z,0.72
2024/03/11T23:43:22z,0.77
2024/03/11T23:45:22z,0.8
2024/03/11T23:47:22z,0.96
2024/03/11T23:49:22z,0.85
2024/03/11T23:51:22z,1.3
2024/03/11T23:53:22z,0.79
2024/03/11T23:55:22z,0.98
2024/03/11T23:57:22z,1.05
2024/03/11T23:59:22z,0.61
2024/03/12T00:01:02z,1.24
2024/03/12T00:03:02z,1.52
2024/03/12T00:05:02z,0.82
2024/03/12T00:07:02z,1.26
2024/03/12T00:09:02z,1.62
2024/03/12T00:11:02z,1.1
2024/03/12T00:13:02z,0.9
2024/03/12T00:15:02z,1.45
2024/03/12T00:17:02z,0.97
2024/03/12T00:19:02z,0.7
2024/03/12T00:20:42z,1.07
2024/03/12T00:22:42z,0.98
2024/03/12T00:24:42z,0.91
2024/03/12T00:26:42z,1.24
2024/03/12T00:28:42z,1.14
2024/03/12T00:30:42z,0.85
2024/03/12T00:32:42z,1.05
2024/03/12T00:34:42z,1.88
2024/03/12T00:36:42z,1.36
2024/03/12T00:38:42z,1.02
2024/03/12T00:40:23z,1.48
2024/03/12T00:42:23z,1
2024/03/12T00:44:23z,1.12
2024/03/12T00:46:23z,1.18
2024/03/12T00:48:23z,1.24
2024/03/12T00:50:23z,1.17
2024/03/12T00:52:23z,1.41
2024/03/12T00:54:23z,0.95
2024/03/12T00:56:23z,1
2024/03/12T00:58:23z,1
2024/03/12T01:00:04z,0.87
2024/03/12T01:02:04z,1.17
2024/03/12T01:04:04z,1.56
2024/03/12T01:06:04z,2.02
2024/03/12T01:08:04z,1.51
2024/03/12T01:10:04z,1.73
2024/03/12T01:12:04z,1.39
2024/03/12T01:14:04z,0.91
2024/03/12T01:16:04z,1.14
2024/03/12T01:18:04z,1.83
2024/03/12T01:19:45z,1.76
2024/03/12T01:21:45z,1.17
2024/03/12T01:23:45z,1.16
2024/03/12T01:25:45z,1.7
2024/03/12T01:27:45z,1.64
2024/03/12T01:29:45z,1.17
2024/03/12T01:31:45z,1.19
2024/03/12T01:33:45z,1.84
2024/03/12T01:35:45z,1.9
2024/03/12T01:37:45z,2.39
2024/03/12T01:39:26z,2.07
2024/03/12T01:41:26z,1.78
2024/03/12T01:43:26z,1.53
2024/03/12T01:45:26z,1.09
2024/03/12T01:47:26z,1.42
2024/03/12T01:49:26z,1
2024/03/12T01:51:26z,2.26
2024/03/12T01:53:26z,2
2024/03/12T01:55:26z,2.37
2024/03/12T01:57:26z,2.9
2024/03/12T01:59:07z,2.69
2024/03/12T02:01:07z,2.5
2024/03/12T02:03:07z,1.93
2024/03/12T02:05:07z,1.48
2024/03/12T02:07:07z,1.47
2024/03/12T02:09:07z,0.78
2024/03/12T02:11:07z,1.34
2024/03/12T02:13:07z,1
2024/03/12T02:15:07z,1.74
2024/03/12T02:17:07z,2.54
2024/03/12T02:18:47z,2.72
2024/03/12T02:20:47z,2.83
2024/03/12T02:22:47z,2.42
2024/03/12T02:24:47z,1.25
2024/03/12T02:26:47z,0.95
2024/03/12T02:28:47z,1.22
2024/03/12T02:30:47z,1.41
2024/03/12T02:32:47z,0.5
2024/03/12T02:34:47z,1.15
2024/03/12T02:36:47z,1.19
2024/03/12T02:38:27z,0.98
2024/03/12T02:40:27z,1.02
2024/03/12T02:42:27z,1.39
2024/03/12T02:44:27z,1.05
2024/03/12T02:46:27z,0.81
2024/03/12T02:48:27z,1.32
2024/03/12T02:50:27z,0.75
2024/03/12T02:52:27z,0.79
2024/03/12T02:54:27z,0.78
2024/03/12T02:56:27z,0.81
2024/03/12T02:58:08z,0.27
2024/03/12T03:00:08z,0.42
2024/03/12T03:02:08z,1.24
2024/03/12T03:04:08z,0.54
2024/03/12T03:06:08z,1.25
2024/03/12T03:08:08z,0.9
2024/03/12T03:10:08z,1
2024/03/12T03:12:08z,1.09
2024/03/12T03:14:08z,1.29
2024/03/12T03:16:08z,1.19
2024/03/12T03:17:49z,0.85
2024/03/12T03:19:49z,1.24
2024/03/12T03:21:49z,1.3
2024/03/12T03:23:49z,0.95
2024/03/12T03:25:49z,0.85
2024/03/12T03:27:49z,1.39
2024/03/12T03:29:49z,0.6
2024/03/12T03:31:49z,0.88
2024/03/12T03:33:49z,0.83
2024/03/12T03:35:49z,1.17
2024/03/12T03:37:30z,0.98
2024/03/12T03:39:30z,0.86
2024/03/12T03:41:30z,1
2024/03/12T03:43:30z,0.62
2024/03/12T03:45:30z,0.69
2024/03/12T03:47:30z,0.95
2024/03/12T03:49:30z,0.46
2024/03/12T03:51:30z,0.95
2024/03/12T03:53:30z,1.07
2024/03/12T03:55:30z,1.02
2024/03/12T03:57:11z,0.91
2024/03/12T03:59:11z,0.98
2024/03/12T04:01:11z,0.76
2024/03/12T04:03:11z,0.82
2024/03/12T04:05:11z,1.27
2024/03/12T04:07:11z,1.1
2024/03/12T04:09:11z,0.74
2024/03/12T04:11:11z,0.61
2024/03/12T04:13:11z,0.74
2024/03/12T04:15:11z,1.31
2024/03/12T04:16:52z,0.78
2024/03/12T04:18:52z,1.07
2024/03/12T04:20:52z,0.89
2024/03/12T04:22:52z,1.48
2024/03/12T04:24:52z,1.5
2024/03/12T04:26:52z,0.92
2024/03/12T04:28:52z,1.05
2024/03/12T04:30:52z,1.39
2024/03/12T04:32:52z,0.95
2024/03/12T04:34:52z,0.8
2024/03/12T04:36:32z,0.47
