"time","GC3_PM2_5"
"2024/03/11T22:27:52z",1.4
"2024/03/11T22:29:52z",1.19
"2024/03/11T22:31:52z",0.35
"2024/03/11T22:33:52z",0.91
"2024/03/11T22:35:52z",0.77
"2024/03/11T22:37:52z",0.53
"2024/03/11T22:39:52z",0.09
"2024/03/11T22:41:52z",0.43
"2024/03/11T22:43:52z",0.93
"2024/03/11T22:45:52z",0.36
"2024/03/11T22:47:32z",0.16
"2024/03/11T22:49:32z",0.64
"2024/03/11T22:51:32z",0.36
"2024/03/11T22:53:32z",0.47
"2024/03/11T22:55:32z",0.49
"2024/03/11T22:57:32z",0.45
"2024/03/11T22:59:32z",0.49
"2024/03/11T23:01:32z",0.59
"2024/03/11T23:03:32z",0.81
"2024/03/11T23:05:32z",0.21
"2024/03/11T23:07:13z",0.44
"2024/03/11T23:09:13z",0.85
"2024/03/11T23:11:13z",0.7
"2024/03/11T23:13:13z",0.49
"2024/03/11T23:15:13z",0.63
"2024/03/11T23:17:13z",0.72
"2024/03/11T23:19:13z",0.4
"2024/03/11T23:21:13z",0.71
"2024/03/11T23:23:13z",0.74
"2024/03/11T23:25:13z",0.63
"2024/03/11T23:26:53z",0.73
"2024/03/11T23:28:53z",0.9
"2024/03/11T23:30:53z",0.84
"2024/03/11T23:32:53z",0.42
"2024/03/11T23:34:53z",0.9
"2024/03/11T23:36:53z",1.24
"2024/03/11T23:38:53z",0.79
"2024/03/11T23:40:53z",0.71
"2024/03/11T23:42:53z",0.78
"2024/03/11T23:44:53z",0.98
"2024/03/11T23:46:33z",0.61
"2024/03/11T23:48:33z",0.65
"2024/03/11T23:50:33z",1.18
"2024/03/11T23:52:33z",1.09
"2024/03/11T23:54:33z",1.21
"2024/03/11T23:56:33z",1.32
"2024/03/11T23:58:33z",0.55
"2024/03/12T00:00:34z",0.67
"2024/03/12T00:02:33z",0.93
"2024/03/12T00:04:33z",0.76
"2024/03/12T00:06:13z",1.71
"2024/03/12T00:08:13z",0.81
"2024/03/12T00:10:13z",1.05
"2024/03/12T00:12:13z",1.12
"2024/03/12T00:14:13z",1.31
"2024/03/12T00:16:13z",1.17
"2024/03/12T00:18:13z",0.71
"2024/03/12T00:20:13z",0.84
"2024/03/12T00:22:13z",1.12
"2024/03/12T00:24:13z",1.02
"2024/03/12T00:25:54z",1
"2024/03/12T00:27:54z",1.05
"2024/03/12T00:29:54z",1.03
"2024/03/12T00:31:54z",1.52
"2024/03/12T00:33:54z",1.63
"2024/03/12T00:35:54z",1.29
"2024/03/12T00:37:54z",1.05
"2024/03/12T00:39:54z",1.66
"2024/03/12T00:41:54z",1.41
"2024/03/12T00:43:54z",1.9
"2024/03/12T00:45:34z",1.02
"2024/03/12T00:47:34z",1.3
"2024/03/12T00:49:34z",1.29
"2024/03/12T00:51:34z",1.57
"2024/03/12T00:53:34z",1.66
"2024/03/12T00:55:34z",0.73
"2024/03/12T00:57:34z",1.16
"2024/03/12T00:59:34z",1.05
"2024/03/12T01:01:34z",1.51
"2024/03/12T01:03:34z",1.41
"2024/03/12T01:05:15z",1.78
"2024/03/12T01:07:15z",1.66
"2024/03/12T01:09:15z",1.57
"2024/03/12T01:11:15z",1.14
"2024/03/12T01:13:15z",1.5
"2024/03/12T01:15:15z",1.36
"2024/03/12T01:17:15z",1.22
"2024/03/12T01:19:15z",1.12
"2024/03/12T01:21:15z",1.2
"2024/03/12T01:23:15z",1.31
"2024/03/12T01:24:55z",2.13
"2024/03/12T01:26:55z",1.15
"2024/03/12T01:28:55z",1.67
"2024/03/12T01:30:55z",1.33
"2024/03/12T01:32:55z",1.78
"2024/03/12T01:34:55z",1.76
"2024/03/12T01:36:55z",1.81
"2024/03/12T01:38:55z",1.71
"2024/03/12T01:40:55z",1.76
"2024/03/12T01:42:55z",1.59
"2024/03/12T01:44:35z",1.31
"2024/03/12T01:46:35z",1.53
"2024/03/12T01:48:35z",1.43
"2024/03/12T01:50:35z",1.09
"2024/03/12T01:52:35z",2.05
"2024/03/12T01:54:35z",2.75
"2024/03/12T01:56:35z",3.45
"2024/03/12T01:58:35z",2.54
"2024/03/12T02:00:35z",2.34
"2024/03/12T02:02:35z",1.83
"2024/03/12T02:04:16z",1.18
"2024/03/12T02:06:16z",1.34
"2024/03/12T02:08:16z",1.62
"2024/03/12T02:10:16z",1.12
"2024/03/12T02:12:16z",0.66
"2024/03/12T02:14:16z",1
"2024/03/12T02:16:16z",2.14
"2024/03/12T02:18:16z",3.25
"2024/03/12T02:20:16z",3.15
"2024/03/12T02:22:16z",2.53
"2024/03/12T02:23:56z",2.07
"2024/03/12T02:25:56z",1.19
"2024/03/12T02:27:56z",1.09
"2024/03/12T02:29:56z",1.39
"2024/03/12T02:31:56z",1
"2024/03/12T02:33:56z",1.17
