"","timestamp_datetime","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"80561",2024-03-11 22:22:40,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"80562",2024-03-11 22:22:41,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80564",2024-03-11 22:22:43,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA
"80566",2024-03-11 22:22:45,NA,NA,NA,0.18,NA,NA,1.11,NA,NA,NA
"80567",2024-03-11 22:22:46,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA
"80568",2024-03-11 22:22:47,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA
"80570",2024-03-11 22:22:49,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.89
"80681",2024-03-11 22:24:40,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA
"80682",2024-03-11 22:24:41,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80684",2024-03-11 22:24:43,NA,NA,NA,NA,1.17,NA,NA,NA,NA,NA
"80686",2024-03-11 22:24:45,NA,NA,NA,0.72,NA,NA,1.1,NA,NA,NA
"80687",2024-03-11 22:24:46,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA
"80688",2024-03-11 22:24:47,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"80690",2024-03-11 22:24:49,NA,NA,NA,NA,NA,NA,NA,NA,1.34,0.85
"80801",2024-03-11 22:26:40,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA
"80802",2024-03-11 22:26:41,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80804",2024-03-11 22:26:43,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA
"80805",2024-03-11 22:26:44,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA
"80806",2024-03-11 22:26:45,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA
"80807",2024-03-11 22:26:46,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA
"80808",2024-03-11 22:26:47,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA
"80810",2024-03-11 22:26:49,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.1
"80873",2024-03-11 22:27:52,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA
"80921",2024-03-11 22:28:40,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"80922",2024-03-11 22:28:41,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80924",2024-03-11 22:28:43,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA
"80925",2024-03-11 22:28:44,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA
"80926",2024-03-11 22:28:45,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA
"80927",2024-03-11 22:28:46,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA
"80928",2024-03-11 22:28:47,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA
"80930",2024-03-11 22:28:49,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.32
