"","time","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"1",2024-03-11 22:20:00,0.3275,0.285,1.295,0.4775,0.985,0.795,0.7025,0.405,1.0825,0.54
"2",2024-03-11 22:30:00,0.08,0.438,0.53,0.384,0.872,0.486,0.534,0.344,0.554,0.548
"3",2024-03-11 22:40:00,0.018,0.426,0.504,0.376,0.612,0.544,0.446,0.53,0.596,0.324
"4",2024-03-11 22:50:00,0.086,0.206,0.452,0.3,0.532,0.322,0.232,0.432,0.47,0.372
"5",2024-03-11 23:00:00,0.01,0.402,0.58,0.552,0.868,0.322,0.496,0.504,0.548,0.536
"6",2024-03-11 23:10:00,0.014,0.448,0.588,0.616,0.982,0.614,0.58,0.652,0.814,0.618
"7",2024-03-11 23:20:00,0.0716666666666667,0.585,0.742,0.638333333333333,0.838333333333333,0.786666666666667,0.716666666666667,0.773333333333333,1.02,0.703333333333333
"8",2024-03-11 23:30:00,0.086,0.824,0.838,0.946,1.284,0.952,0.902,0.814,1.12,1
"9",2024-03-11 23:40:00,0.17,0.82,0.746,0.82,1.366,1.256,0.88,1.128,1.044,0.838
"10",2024-03-11 23:50:00,0.26,0.946,1.07,1.128,1.472,1.096,0.912,0.976,1.274,1.03
"11",2024-03-12,0.408,1.292,0.976,1.09,1.528,1.258,1.104,1.416,1.494,1.186
"12",2024-03-12 00:10:00,0.688,1.024,1.072,0.936,1.534,1.268,0.968,1.144,1.604,0.88
"13",2024-03-12 00:20:00,1.15,1.068,1.01,0.846,1.434,1.2,1.048,1.026,1.332,0.898
"14",2024-03-12 00:30:00,1.088,1.232,1.43,1.224,1.776,1.332,1.06,1.44,1.37,0.762
"15",2024-03-12 00:40:00,1.29,1.204,1.384,1.298,1.604,1.196,1.032,1.42,1.592,0.998
"16",2024-03-12 00:50:00,1.056,1.106,1.234,1.224,1.502,1.4,1.202,1.498,1.42,1.42
"17",2024-03-12 01:00:00,1.188,1.426,1.586,1.686,1.942,1.464,1.626,1.83,2.138,1.388
"18",2024-03-12 01:10:00,1.105,1.46,1.268,1.23,1.60166666666667,1.25166666666667,1.26333333333333,1.40333333333333,1.72666666666667,1.14833333333333
"19",2024-03-12 01:20:00,1.232,1.368,1.492,1.32,1.578,1.752,1.466,1.71,1.678,1.436
"20",2024-03-12 01:30:00,1.808,1.878,1.678,2.072,2.404,1.888,1.964,2.182,2.504,1.906
"21",2024-03-12 01:40:00,1.724,1.364,1.524,1.486,1.732,1.444,1.55,1.594,1.714,1.49
"22",2024-03-12 01:50:00,1.968,2.444,2.376,2.416,2.54,2.346,2.466,2.632,2.706,2.442
"23",2024-03-12 02:00:00,1.52,1.632,1.662,1.774,1.79,1.858,1.61,2.17,1.776,1.742
"24",2024-03-12 02:10:00,1.61,1.868,1.634,1.68,2.042,1.982,1.556,2.03,1.862,1.89
"25",2024-03-12 02:20:00,1.82,1.734,1.90333333333333,2.102,2.214,1.742,2.052,1.97,2.392,2.032
"26",2024-03-12 02:30:00,1.264,1.046,1.072,1.16,1.298,0.952,1.136,1.296,1.358,1.274
"27",2024-03-12 02:40:00,0.862,1.118,0.972,1.194,1.33,1.214,0.932,1.278,1.252,1.004
"28",2024-03-12 02:50:00,0.712,0.68,0.708,0.892,1.134,0.836,0.806,0.886,1.106,0.902
"29",2024-03-12 03:00:00,0.652,0.87,0.956,1.048,1.068,0.638,1.088,1.07,1.09,0.93
"30",2024-03-12 03:10:00,1.15666666666667,1.11,1.352,1.31166666666667,1.465,1.27,1.16666666666667,1.49,1.435,1.226
"31",2024-03-12 03:20:00,1.024,1.018,1.08,0.884,1.192,1.242,0.958,1.236,1.51,1.316
"32",2024-03-12 03:30:00,0.84,0.944,0.784,1.048,1.08,0.96,0.89,1.054,1.198,1.15833333333333
"33",2024-03-12 03:40:00,0.998,0.744,1.016,0.89,1.222,1.02,1.13,1.116,1.018,1.092
"34",2024-03-12 03:50:00,0.912,0.986,0.89,0.908,0.978,1.198,1.004,1.014,1.196,0.942
"35",2024-03-12 04:00:00,1.014,0.938,0.946,0.932,1.254,1.158,1.062,0.838,0.936,0.89
