"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2#5_aqi_cf_1","pm2#5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2#5_aqi_cf_1_b","pm2#5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","p_10_0_um_b","gas"
"2024/02/22T22:14:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",76,13,23,877.16,NA,26352,0,100,0,0.7,0.89,0,0.7,0.89,3,3,138.68,41.86,6.34,3.34,0.32,0.32,0,0.91,1.07,0,0.91,1.07,4,4,152.79,43.58,7.47,3.23,0.3,0,NA
"2024/02/22T22:16:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,12,22,877.04,0.04,26264,0,220,0,0.48,0.71,0,0.48,0.71,2,2,125.74,35.33,5.19,2.62,0.17,0.17,0,0.21,1.18,0,0.21,1.18,1,1,142.5,39.75,7.23,3.25,0.21,0,50
"2024/02/22T22:18:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,12,21,876.98,0.04,26264,0,340,0,0.04,0.04,0,0.04,0.04,0,0,112.79,32.46,3.63,0.18,0,0,0,0.17,0.39,0,0.17,0.39,1,1,132.61,38.2,3.98,0.39,0.22,0.22,50
"2024/02/22T22:20:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,12,21,876.9,0.04,26264,0,460,0,0,0,0,0,0,0,0,128.35,32.64,3.44,0.45,0,0,0,0,0,0,0,0,0,0,140.9,40.19,3.53,0.54,0.08,0,NA
"2024/02/22T22:22:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,12,20,876.96,0.04,26264,0,580,0,0,0.42,0,0,0.42,0,0,140.24,37.83,5.54,1.08,0.66,0.2,0,0.05,0.36,0,0.05,0.36,0,0,164.74,46.31,5.81,1.07,0.59,0.24,50
"2024/02/22T22:24:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,12,22,876.88,0.04,26264,0,700,0,0,0,0,0,0,0,0,128.64,37.36,3.47,0.17,0,0,0,0.07,0.32,0,0.07,0.32,0,0,152.04,40,4.82,0.75,0.48,0.48,50
"2024/02/22T22:26:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,11,21,876.92,0.04,26264,0,820,0,0,0.02,0,0,0.02,0,0,99,27.9,3.5,0.81,0.17,0.17,0,0,0,0,0,0,0,0,131.59,35.62,1.88,0.17,0,0,50
"2024/02/22T22:28:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,11,21,876.93,0.04,26264,0,940,0,0,0,0,0,0,0,0,127.11,32.79,3,0.21,0,0,0,0,0,0,0,0,0,0,119.64,33.08,2.32,0.17,0,0,50
"2024/02/22T22:30:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,11,21,876.89,0.04,26264,0,1060,0,0,0.25,0,0,0.25,0,0,126.1,35.64,4.73,0.39,0.39,0.22,0,0,0.1,0,0,0.1,0,0,125.38,32.38,3.9,0.28,0.24,0,50
"2024/02/22T22:32:46z","d8:bc:38:84:50:6a",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",76,12,20,876.94,0.04,26264,0,1180,0,0.07,0.24,0,0.07,0.24,0,0,128.74,37.4,5.16,0.41,0.24,0,0,0,0,0,0,0,0,0,126.05,39.09,2.14,0.61,0.16,0,50
