"time","GC4_PM2_5"
"2024/02/22T20:55:31z",0
"2024/02/22T22:14:51z",0.09
"2024/02/22T22:16:51z",0.09
"2024/02/22T22:18:51z",0
"2024/02/22T22:20:51z",0
"2024/02/22T22:22:51z",0.36
"2024/02/22T22:24:51z",0.49
"2024/02/22T22:26:51z",0
"2024/02/22T22:28:51z",0
"2024/02/22T22:30:51z",0.14
"2024/02/22T22:32:51z",0.22
"2024/02/22T22:34:32z",0
"2024/02/22T22:36:32z",0.24
"2024/02/22T22:38:32z",0
"2024/02/22T22:40:32z",0
"2024/02/22T22:42:32z",0
"2024/02/22T22:44:32z",0
"2024/02/22T22:46:32z",0
"2024/02/22T22:48:32z",0
"2024/02/22T22:50:32z",0
"2024/02/22T22:52:32z",0.08
"2024/02/22T22:54:13z",0
"2024/02/22T22:56:13z",0
"2024/02/22T22:58:13z",0
"2024/02/22T23:00:13z",0
"2024/02/22T23:02:13z",0
"2024/02/22T23:04:13z",0
"2024/02/22T23:06:13z",0.04
"2024/02/22T23:08:13z",0.4
"2024/02/22T23:10:13z",0
"2024/02/22T23:12:13z",0
"2024/02/22T23:13:53z",0
"2024/02/22T23:15:53z",0
"2024/02/22T23:17:53z",0.23
"2024/02/22T23:19:53z",0.04
"2024/02/22T23:21:53z",0
"2024/02/22T23:23:53z",0
"2024/02/22T23:25:53z",0
"2024/02/22T23:27:53z",0
"2024/02/22T23:29:53z",0
"2024/02/22T23:31:53z",0
"2024/02/22T23:33:34z",0
"2024/02/22T23:35:34z",0
"2024/02/22T23:37:34z",0
"2024/02/22T23:39:34z",0
"2024/02/22T23:41:34z",0.05
"2024/02/22T23:43:34z",0
"2024/02/22T23:45:34z",0
"2024/02/22T23:47:34z",0
"2024/02/22T23:49:34z",0
"2024/02/22T23:51:34z",0
"2024/02/22T23:53:15z",0
"2024/02/22T23:55:15z",0
"2024/02/22T23:57:15z",0.09
"2024/02/22T23:59:15z",0
"2024/02/23T00:01:15z",0
"2024/02/23T00:03:15z",0.08
"2024/02/23T00:05:15z",0
"2024/02/23T00:07:15z",0
"2024/02/23T00:09:15z",0
"2024/02/23T00:11:15z",0
"2024/02/23T00:12:56z",0.22
"2024/02/23T00:14:56z",0
"2024/02/23T00:16:56z",0
"2024/02/23T00:18:56z",0
"2024/02/23T00:20:56z",0
"2024/02/23T00:22:56z",0
"2024/02/23T00:24:56z",0
"2024/02/23T00:26:56z",0
"2024/02/23T00:28:56z",0
"2024/02/23T00:30:56z",0
"2024/02/23T00:32:37z",0
"2024/02/23T00:34:37z",0
"2024/02/23T00:36:37z",0
"2024/02/23T00:38:37z",0
"2024/02/23T00:40:37z",0
"2024/02/23T00:42:37z",0.22
"2024/02/23T00:44:37z",0
"2024/02/23T00:46:37z",0.09
"2024/02/23T00:48:37z",0
"2024/02/23T00:50:37z",0.03
"2024/02/23T00:52:17z",0.22
"2024/02/23T00:54:17z",0.12
"2024/02/23T00:56:17z",0.29
"2024/02/23T00:58:17z",0.67
"2024/02/23T01:00:17z",0.59
"2024/02/23T01:02:17z",2.98
"2024/02/23T01:04:17z",0.67
"2024/02/23T01:06:17z",0
"2024/02/23T01:08:17z",0.16
"2024/02/23T01:10:17z",0.05
"2024/02/23T01:11:58z",0
"2024/02/23T01:13:58z",0
"2024/02/23T01:15:58z",0
"2024/02/23T01:17:58z",0
"2024/02/23T01:19:58z",0
"2024/02/23T01:21:58z",0.2
"2024/02/23T01:23:58z",0.68
"2024/02/23T01:25:58z",0
"2024/02/23T01:27:58z",0.05
"2024/02/23T01:29:58z",0.33
"2024/02/23T01:31:39z",0.56
"2024/02/23T01:33:39z",0.15
"2024/02/23T01:35:39z",0.42
"2024/02/23T01:37:39z",0.53
"2024/02/23T01:39:39z",0.5
"2024/02/23T01:41:39z",1.03
"2024/02/23T01:43:39z",2.26
"2024/02/23T01:45:39z",2.57
"2024/02/23T01:47:39z",2.41
"2024/02/23T01:49:39z",2.35
"2024/02/23T01:51:20z",2.76
"2024/02/23T01:53:20z",2.1
"2024/02/23T01:55:20z",1.39
"2024/02/23T01:57:20z",0.66
"2024/02/23T01:59:20z",0.19
"2024/02/23T02:01:20z",0.32
"2024/02/23T02:03:20z",0.21
"2024/02/23T02:05:20z",0.12
"2024/02/23T02:07:20z",0.14
"2024/02/23T02:09:20z",0.39
"2024/02/23T02:11:01z",0.35
"2024/02/23T02:13:01z",0.29
"2024/02/23T02:15:01z",0.53
"2024/02/23T02:17:01z",0.68
"2024/02/23T02:19:01z",0.73
"2024/02/23T02:21:01z",0.08
"2024/02/23T02:23:01z",0.2
"2024/02/23T02:25:01z",0.54
"2024/02/23T02:27:01z",0.68
"2024/02/23T02:29:01z",0.17
"2024/02/23T02:30:42z",0.15
"2024/02/23T02:32:42z",0
"2024/02/23T02:34:42z",0
"2024/02/23T02:36:42z",0.4
"2024/02/23T02:38:42z",0.58
"2024/02/23T02:40:42z",1.08
"2024/02/23T02:42:42z",0.72
"2024/02/23T02:44:42z",0.73
"2024/02/23T02:46:42z",1.03
"2024/02/23T02:48:42z",0.5
"2024/02/23T02:50:23z",0.33
"2024/02/23T02:52:23z",1.1
"2024/02/23T02:54:23z",0.88
"2024/02/23T02:56:23z",0.55
"2024/02/23T02:58:23z",1.12
"2024/02/23T03:00:23z",0.8
"2024/02/23T03:02:23z",1.43
"2024/02/23T03:04:23z",1.93
"2024/02/23T03:06:23z",2.02
"2024/02/23T03:08:23z",2.72
"2024/02/23T03:10:03z",2.07
"2024/02/23T03:12:03z",0.85
"2024/02/23T03:14:03z",1.04
"2024/02/23T03:16:03z",0.82
"2024/02/23T03:18:03z",0.32
"2024/02/23T03:20:03z",0.68
"2024/02/23T03:22:03z",0.21
"2024/02/23T03:24:03z",0.77
"2024/02/23T03:26:03z",0.19
"2024/02/23T03:28:03z",2.12
"2024/02/23T03:29:43z",2.09
"2024/02/23T03:31:43z",0.98
"2024/02/23T03:33:43z",0.95
"2024/02/23T03:35:43z",0.89
"2024/02/23T03:37:43z",0.65
"2024/02/23T03:39:43z",0.66
"2024/02/23T03:41:43z",1.02
"2024/02/23T03:43:43z",0.82
"2024/02/23T03:45:43z",0.64
"2024/02/23T03:47:43z",0.63
"2024/02/23T03:49:23z",0.96
"2024/02/23T03:51:23z",1.03
"2024/02/23T03:53:23z",0.74
"2024/02/23T03:55:23z",0.86
"2024/02/23T03:57:23z",0.29
"2024/02/23T03:59:23z",0.33
"2024/02/23T04:01:23z",0.07
"2024/02/23T04:03:23z",0.57
"2024/02/23T04:05:23z",0.85
"2024/02/23T04:07:23z",0.03
"2024/02/23T04:09:04z",0.51
"2024/02/23T04:11:04z",0.66
"2024/02/23T04:13:04z",1.12
"2024/02/23T04:15:04z",0.84
"2024/02/23T04:17:04z",1.37
"2024/02/23T04:19:04z",1
"2024/02/23T04:21:04z",0.21
"2024/02/23T04:23:04z",0.82
"2024/02/23T04:25:04z",1.19
"2024/02/23T04:27:04z",1.15
"2024/02/23T04:28:44z",0.89
"2024/02/23T04:30:44z",0.44
"2024/02/23T04:32:44z",0.37
"2024/02/23T04:34:44z",0.04
"2024/02/23T04:36:44z",0.16
"2024/02/23T04:38:44z",0
"2024/02/23T04:40:44z",0.42
"2024/02/23T04:42:44z",0.12
"2024/02/23T04:44:44z",0.05
"2024/02/23T04:46:44z",0.22
"2024/02/23T04:48:24z",0
"2024/02/23T04:50:24z",0
"2024/02/23T04:52:24z",0
"2024/02/23T04:54:24z",0.49
"2024/02/23T04:56:24z",0.42
"2024/02/23T04:58:24z",0.68
"2024/02/23T05:00:24z",0.62
"2024/02/23T05:02:24z",0.2
"2024/02/23T05:04:24z",0.25
"2024/02/23T05:06:24z",0.33
"2024/02/23T05:08:04z",0.4
"2024/02/23T05:10:04z",0.63
"2024/02/23T05:12:04z",0.36
"2024/02/23T05:14:04z",1.22
"2024/02/23T05:16:04z",2.8
"2024/02/23T05:18:04z",3.7
"2024/02/23T05:20:04z",2.02
"2024/02/23T05:22:04z",2.21
"2024/02/23T05:24:04z",2.33
"2024/02/23T05:26:04z",1.08
"2024/02/23T05:27:44z",1.29
"2024/02/23T05:29:44z",0.73
"2024/02/23T05:31:44z",0.26
"2024/02/23T05:33:44z",0.09
"2024/02/23T05:35:44z",0.25
"2024/02/23T05:37:44z",0
"2024/02/23T05:39:44z",0
"2024/02/23T05:41:44z",0.62
"2024/02/23T05:43:44z",0.57
"2024/02/23T05:45:44z",0.25
"2024/02/23T05:47:25z",0.89
"2024/02/23T05:49:25z",0.61
"2024/02/23T05:51:25z",0.3
"2024/02/23T05:53:25z",0.5
"2024/02/23T05:55:25z",0.59
"2024/02/23T05:57:25z",0.27
"2024/02/23T05:59:25z",0.6
"2024/02/23T06:01:25z",0.18
"2024/02/23T06:03:25z",0.34
"2024/02/23T06:05:25z",0.08
"2024/02/23T06:07:05z",0
"2024/02/23T06:09:05z",0.42
"2024/02/23T06:11:05z",1
"2024/02/23T06:13:05z",1.05
"2024/02/23T06:15:05z",0.95
"2024/02/23T06:17:05z",1.43
"2024/02/23T06:19:05z",1.55
"2024/02/23T06:21:05z",0.93
"2024/02/23T06:23:05z",1.16
"2024/02/23T06:25:05z",0.83
"2024/02/23T06:26:45z",1
"2024/02/23T06:28:45z",0.6
"2024/02/23T06:30:45z",1.47
"2024/02/23T06:32:45z",0.68
"2024/02/23T06:34:45z",0.98
"2024/02/23T06:36:45z",0.6
"2024/02/23T06:38:45z",1
"2024/02/23T06:40:45z",1
"2024/02/23T06:42:45z",0.6
"2024/02/23T06:44:45z",0.88
