"","timestamp_datetime","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"75332",2024-02-22 20:55:31,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"75333",2024-02-22 20:55:32,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA
"80085",2024-02-22 22:14:44,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80087",2024-02-22 22:14:46,NA,0.27,0.7,NA,NA,NA,NA,NA,NA,NA
"80092",2024-02-22 22:14:51,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA
"80093",2024-02-22 22:14:52,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA
"80095",2024-02-22 22:14:54,NA,NA,NA,NA,NA,0.61,0.91,NA,NA,NA
"80096",2024-02-22 22:14:55,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA
"80099",2024-02-22 22:14:58,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.82
"80205",2024-02-22 22:16:44,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80207",2024-02-22 22:16:46,NA,0.22,0.48,NA,NA,NA,NA,NA,NA,NA
"80212",2024-02-22 22:16:51,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA
"80213",2024-02-22 22:16:52,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA
"80215",2024-02-22 22:16:54,NA,NA,NA,NA,NA,0.48,0.41,NA,NA,NA
"80216",2024-02-22 22:16:55,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA
"80219",2024-02-22 22:16:58,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.41
"80325",2024-02-22 22:18:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80327",2024-02-22 22:18:46,NA,0,0.04,NA,NA,NA,NA,NA,NA,NA
"80332",2024-02-22 22:18:51,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"80333",2024-02-22 22:18:52,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA
"80335",2024-02-22 22:18:54,NA,NA,NA,NA,NA,0,0.55,NA,NA,NA
"80336",2024-02-22 22:18:55,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA
"80339",2024-02-22 22:18:58,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0
"80445",2024-02-22 22:20:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80447",2024-02-22 22:20:46,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"80452",2024-02-22 22:20:51,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"80453",2024-02-22 22:20:52,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"80455",2024-02-22 22:20:54,NA,NA,NA,NA,NA,0.11,0,NA,NA,NA
"80456",2024-02-22 22:20:55,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA
"80459",2024-02-22 22:20:58,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04
"80565",2024-02-22 22:22:44,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80567",2024-02-22 22:22:46,NA,0.15,0,NA,NA,NA,NA,NA,NA,NA
"80572",2024-02-22 22:22:51,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA
"80573",2024-02-22 22:22:52,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA
"80575",2024-02-22 22:22:54,NA,NA,NA,NA,NA,0.12,0.17,NA,NA,NA
"80576",2024-02-22 22:22:55,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
"80579",2024-02-22 22:22:58,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.08
"80685",2024-02-22 22:24:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80687",2024-02-22 22:24:46,NA,0.13,0,NA,NA,NA,NA,NA,NA,NA
"80692",2024-02-22 22:24:51,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA
"80693",2024-02-22 22:24:52,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA
"80695",2024-02-22 22:24:54,NA,NA,NA,NA,NA,0,0.15,NA,NA,NA
"80696",2024-02-22 22:24:55,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA
"80699",2024-02-22 22:24:58,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0
"80805",2024-02-22 22:26:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80807",2024-02-22 22:26:46,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"80812",2024-02-22 22:26:51,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"80813",2024-02-22 22:26:52,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA
"80815",2024-02-22 22:26:54,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA
"80816",2024-02-22 22:26:55,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA
"80819",2024-02-22 22:26:58,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0
"80925",2024-02-22 22:28:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80927",2024-02-22 22:28:46,NA,0.02,0,NA,NA,NA,NA,NA,NA,NA
"80932",2024-02-22 22:28:51,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"80933",2024-02-22 22:28:52,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA
"80935",2024-02-22 22:28:54,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"80936",2024-02-22 22:28:55,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"80939",2024-02-22 22:28:58,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"81045",2024-02-22 22:30:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81047",2024-02-22 22:30:46,NA,0.12,0,NA,NA,NA,NA,NA,NA,NA
"81052",2024-02-22 22:30:51,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA
"81053",2024-02-22 22:30:52,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA
"81055",2024-02-22 22:30:54,NA,NA,NA,NA,NA,0,0.17,NA,NA,NA
"81056",2024-02-22 22:30:55,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"81059",2024-02-22 22:30:58,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.16
"81165",2024-02-22 22:32:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81167",2024-02-22 22:32:46,NA,0.08,0.07,NA,NA,NA,NA,NA,NA,NA
"81172",2024-02-22 22:32:51,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA
"81173",2024-02-22 22:32:52,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA
"81175",2024-02-22 22:32:54,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"81176",2024-02-22 22:32:55,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA
"81179",2024-02-22 22:32:58,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.1
"81265",2024-02-22 22:34:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81267",2024-02-22 22:34:26,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
