"","time","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"1",2024-02-22 20:50:00,NA,NA,NA,0,0,NA,NA,NA,0.61,NA
"2",2024-02-22 22:10:00,0.336666666666667,0.163333333333333,0.406666666666667,0.06,0.27,0.363333333333333,0.623333333333333,0.163333333333333,0.456666666666667,0.41
"3",2024-02-22 22:20:00,0.006,0.06,0,0.17,0.114,0.066,0.064,0.086,0.086,0.024
"4",2024-02-22 22:30:00,0.034,0.144,0.13,0.12,0.21,0.074,0.1,0.31,0.082,0.062
"5",2024-02-22 22:40:00,0,0,0,0,0.038,0.018,0.024,0.046,0.038,0
"6",2024-02-22 22:50:00,0,0.094,0.066,0.016,0,0.092,0.044,0.132,0.038,0.054
"7",2024-02-22 23:00:00,0,0.204,0.082,0.088,0.326,0.21,0.176,0.28,0.208,0.224
"8",2024-02-22 23:10:00,0.00333333333333333,0.13,0.055,0.045,0.108333333333333,0.00833333333333333,0.0183333333333333,0.0833333333333333,0.045,0
"9",2024-02-22 23:20:00,0,0.006,0.016,0,0.102,0,0.024,0.092,0.006,0
"10",2024-02-22 23:30:00,0,0,0.048,0,0.02,0.044,0.01,0.098,0.016,0.034
"11",2024-02-22 23:40:00,0,0.004,0,0.01,0.042,0,0.004,0.266,0,0.074
"12",2024-02-22 23:50:00,0,0.018,0,0.018,0,0.004,0,0.098,0.032,0
"13",2024-02-23,0.054,0,0,0.016,0.066,0.01,0.024,0.06,0.05,0
"14",2024-02-23 00:10:00,0,0,0,0.044,0.024,0,0,0.006,0,0
"15",2024-02-23 00:20:00,0,0,0.006,0,0,0.018,0.062,0.246,0.086,0
"16",2024-02-23 00:30:00,0.018,0.038,0,0,0.006,0.01,0,0.082,0.004,0.022
"17",2024-02-23 00:40:00,0.07,0.052,0.008,0.062,0.036,0.058,NA,0.112,0.028,0.01
"18",2024-02-23 00:50:00,0.166,0.216,0.19,0.266,0.378,0.25,0.17,0.31,0.08,0.262
"19",2024-02-23 01:00:00,1.158,1.114,1.42,0.88,1.482,1.144,1.22,1.346,NA,0.974
"20",2024-02-23 01:10:00,0.0933333333333333,0.113333333333333,0.08,0.00833333333333333,0.186666666666667,0.17,0.108,0.208333333333333,0.14,0.088
"21",2024-02-23 01:20:00,0.168,0.294,0.252,0.252,0.374,0.328,0.292,0.414,0.304,0.148
"22",2024-02-23 01:30:00,0.464,0.31,0.42,0.432,0.658,0.328,0.435,0.556,0.368333333333333,0.398
"23",2024-02-23 01:40:00,2.31,2.45,2.338,2.124,3,2.286,2.4,2.75,2.588,1.702
"24",2024-02-23 01:50:00,1.312,1.286,1.354,1.42,1.516,1.532,1.324,1.314,1.824,1.61
"25",2024-02-23 02:00:00,0.548,0.256,0.57,0.236,0.586,0.546,0.344,0.632,0.62,0.412
"26",2024-02-23 02:10:00,0.396,0.436,0.28,0.516,0.556,0.618,0.37,0.766,0.748,0.42
"27",2024-02-23 02:20:00,0.396,0.362,0.31,0.334,0.538,0.384,0.278,0.634,0.486,0.196
"28",2024-02-23 02:30:00,0.13,0.112,0.238,0.226,0.132,0.166,0.076,0.374,0.448,0.192
"29",2024-02-23 02:40:00,0.69,1.138,0.938,0.812,1.206,1.386,0.914,1.128,1.358,0.876
"30",2024-02-23 02:50:00,0.884,0.87,0.856,0.796,1.094,0.926,0.954,1.028,1,1.052
"31",2024-02-23 03:00:00,1.88666666666667,2.035,1.9,1.78,2.378,2.358,2.104,1.92,2.296,1.948
"32",2024-02-23 03:10:00,0.844,0.784,0.684,1.02,1.128,0.984,0.94,1.4,1.086,0.91
"33",2024-02-23 03:20:00,1.202,1.432,0.966,1.01,1.605,1.10166666666667,0.993333333333333,1.51,1.002,0.918
"34",2024-02-23 03:30:00,1,1.046,0.938,0.826,1.212,1.05,0.926,1.2,NA,1.34
"35",2024-02-23 03:40:00,1.012,1.1125,0.894,0.814,1.266,1.17,1.074,0.918,1,NA
"36",2024-02-23 03:50:00,0.862,NA,0.7,0.65,0.882,0.984,0.702,0.874,0.846,0.685
"37",2024-02-23 04:00:00,0.454,0.29,0.64,0.406,0.636,0.558,0.346,0.634,0.566,0.518
"38",2024-02-23 04:10:00,0.778,0.774,0.67,0.998,1.038,0.79,0.858,0.848,0.75,0.623333333333333
"39",2024-02-23 04:20:00,0.77,0.808,0.532,0.852,1.112,0.548,0.704,1,0.82,0.766
"40",2024-02-23 04:30:00,0.192,0.372,0.152,0.202,0.466,0.232,0.218,0.488,0.324,NA
"41",2024-02-23 04:40:00,0.136,0.14,0.192,0.162,0.19,0.134,0.108,0.312,0.216,NA
"42",2024-02-23 04:50:00,0.318,0.29,0.292,0.318,0.36,0.31,0.184,0.582,0.358,0.234
"43",2024-02-23 05:00:00,0.408333333333333,0.485,0.196666666666667,0.36,0.572,0.388,0.504,0.578,0.494,0.174
"44",2024-02-23 05:10:00,1.532,2.044,1.736,1.742,1.364,1.582,1.284,1.444,1.61,1.434
"45",2024-02-23 05:20:00,1.2,1.094,1.15,1.61,1.53333333333333,1.47666666666667,1.43666666666667,1.925,1.70833333333333,1.13
"46",2024-02-23 05:30:00,0.202,0.136,0.108,0.12,0.216,0.278,0.15,0.586,0.276,0.232
"47",2024-02-23 05:40:00,0.614,0.668,0.674,0.588,0.878,0.706,0.61,1.16,0.742,0.576
"48",2024-02-23 05:50:00,0.326,0.328,0.354,0.452,0.58,0.572,0.278,0.852,0.424,0.428
"49",2024-02-23 06:00:00,0.3,0.336,0.078,0.204,0.24,0.04,0.19,0.592,0.298,0.215
"50",2024-02-23 06:10:00,1.098,0.968,1.112,1.196,1.178,1.034,1.064,1.638,1.124,0.996
"51",2024-02-23 06:20:00,1.086,1.214,1.02,0.904,1.33,1.096,1.058,1.422,1.228,1.024
"52",2024-02-23 06:30:00,1.122,1.102,0.97,0.946,1.128,1.256,1.192,1.708,1.366,0.902
"53",2024-02-23 06:40:00,0.71,1.052,0.716,0.72,0.908,0.642,0.973333333333333,1.328,1.046,0.61
"54",2024-02-23 06:50:00,0.64,0.856,0.728,0.926,0.884,0.83,NA,1.414,1.094,1.186
"55",2024-02-23 07:00:00,1.56333333333333,1.77833333333333,1.7,1.798,1.996,1.868,1.02,2.05,2.126,1.256
"56",2024-02-23 07:10:00,1.04,1.316,1.272,1.356,1.098,0.97,1.184,1.334,1.284,1.018
"57",2024-02-23 07:20:00,0.972,0.988,0.585,1.06666666666667,1.08333333333333,1,0.995,1.41166666666667,1.04333333333333,0.986
"58",2024-02-23 07:30:00,0.812,1.416,NA,1.396,1.318,1.44,0.978,1.47,1.31,1.022
"59",2024-02-23 07:40:00,0.28,0.504,0.106666666666667,0.432,0.52,0.688,0.415,0.886,0.504,0.426
"60",2024-02-23 07:50:00,0.288,0.356,0.22,0.418,0.648,0.492,NA,0.92,0.438,0.2
"61",2024-02-23 08:00:00,0.688,0.715,0.316,0.665,0.42,0.668,NA,0.94,0.692,0.665
"62",2024-02-23 08:10:00,0.59,NA,0.608,NA,NA,0.55,NA,NA,0.798,0.386
"63",2024-02-23 08:20:00,0.388,NA,0.585,NA,NA,0.304,NA,NA,0.4,0.733333333333333
"64",2024-02-23 08:30:00,0,NA,NA,NA,NA,0.068,NA,NA,NA,NA
"65",2024-02-23 08:40:00,0.135,NA,NA,NA,NA,0.185,NA,NA,NA,NA
"66",2024-02-23 09:00:00,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2024-02-23 09:10:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2024-02-23 09:20:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2024-02-23 09:30:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2024-02-23 09:40:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2024-02-23 09:50:00,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2024-02-23 10:00:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2024-02-23 14:50:00,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"74",2024-02-23 15:00:00,0,NA,NA,NA,NA,0.084,NA,NA,NA,NA
"75",2024-02-23 15:10:00,0.006,0,0,0,0,0.024,0,0.38,0,NA
"76",2024-02-23 15:20:00,0.004,0,0,0,0,0.078,0.014,0.196,0.032,0
"77",2024-02-23 15:30:00,0.038,0.008,0.022,0.018,0.038,0,0,0.096,0.028,0.016
"78",2024-02-23 15:40:00,0.004,0.01,0.098,0.086,0.108,0.146,0.088,0.128,0.108,0.141666666666667
"79",2024-02-23 15:50:00,0,0,0,0,0,0,0,0.05,0,0
"80",2024-02-23 16:00:00,0,0,0,0.052,0,0,0,0.046,0,0
"81",2024-02-23 16:10:00,0,0.014,0,0,0.018,0.034,0.01,0.026,0,0
"82",2024-02-23 16:20:00,0,0,0,0,0,0,0,0.004,0,0
"83",2024-02-23 16:30:00,0,0,0,0,0.008,0,0,0,0,0
"84",2024-02-23 16:40:00,0,0.042,0.01,0,0,0,0,0.078,0,0
"85",2024-02-23 16:50:00,0,0,0,0,0.0383333333333333,0,0,0.015,0,0
"86",2024-02-23 17:00:00,0,0,0,0,0,0,0,0,0,0
