time_stamp,pm1.0_atm,pm2.5_atm,pm10.0_atm
2024-04-04T14:50:00-06:00,0,0.08,0.13
2024-04-04T15:00:00-06:00,0.044,0.506,1.6925
2024-04-04T15:10:00-06:00,0,0.121,0.718
2024-04-04T15:20:00-06:00,0,0.03,0.326
2024-04-04T15:30:00-06:00,0.019,0.073,0.246
2024-04-04T15:40:00-06:00,0.031,0.19,0.661
2024-04-04T15:50:00-06:00,0,0.007,0.208
2024-04-04T16:00:00-06:00,0,0,0.092
2024-04-04T16:10:00-06:00,0,0.025,0.22599999999999998
2024-04-04T16:20:00-06:00,0,0.035,0.10400000000000001
2024-04-04T16:30:00-06:00,0.027999999999999997,0.275,0.6779999999999999
2024-04-04T16:40:00-06:00,0,0.046,0.32699999999999996
2024-04-04T16:50:00-06:00,0,0.024,0.203
2024-04-04T17:00:00-06:00,0,0.013,0.175
2024-04-04T17:10:00-06:00,0,0.072,0.31999999999999995
2024-04-04T17:20:00-06:00,0.004,0.127,0.437
2024-04-04T17:30:00-06:00,0,0.059000000000000004,0.289
2024-04-04T17:40:00-06:00,0,0.026000000000000002,0.198
2024-04-04T17:50:00-06:00,0,0.03,0.15100000000000002
2024-04-04T18:00:00-06:00,0,0.071,0.197
2024-04-04T18:10:00-06:00,0,0.095,0.45899999999999996
2024-04-04T18:20:00-06:00,0.005,0.10500000000000001,0.5369999999999999
2024-04-04T18:30:00-06:00,0,0.011,0.314
2024-04-04T18:40:00-06:00,0,0.025,0.179
2024-04-04T18:50:00-06:00,0,0.06,0.324
2024-04-04T19:00:00-06:00,0.045,0.131,0.312
2024-04-04T19:10:00-06:00,0.003,0.061,0.251
2024-04-04T19:20:00-06:00,0.005,0.11699999999999999,0.474
2024-04-04T19:30:00-06:00,0,0.019999999999999997,0.254
2024-04-04T19:40:00-06:00,0.255,1.426,4.464
2024-04-04T19:50:00-06:00,0.016,0.488,1.037
2024-04-04T20:00:00-06:00,0.167,0.8089999999999999,1.275
2024-04-04T20:10:00-06:00,0,0.23099999999999998,0.766
2024-04-04T20:20:00-06:00,0.029,0.19799999999999998,0.318
2024-04-04T20:30:00-06:00,0.0025,0.388,0.839
2024-04-04T20:40:00-06:00,0,0.141,0.344
2024-04-04T20:50:00-06:00,0.009,0.053000000000000005,0.21200000000000002
2024-04-04T21:00:00-06:00,0,0.092,0.35
2024-04-04T21:10:00-06:00,0.002,0.236,0.607
2024-04-04T21:20:00-06:00,0.11599999999999999,0.875,1.242
2024-04-04T21:30:00-06:00,0.131,0.968,1.411
2024-04-04T21:40:00-06:00,0.048,0.608,0.9239999999999999
2024-04-04T21:50:00-06:00,0.047,0.737,1.06
2024-04-04T22:00:00-06:00,0.029,0.398,0.665
2024-04-04T22:10:00-06:00,0.121,0.6970000000000001,0.984
2024-04-04T22:20:00-06:00,0.246,0.98,1.436
2024-04-04T22:30:00-06:00,0.051000000000000004,0.665,1.146
2024-04-04T22:40:00-06:00,0.020999999999999998,0.301,0.716
2024-04-04T22:50:00-06:00,0,0.214,0.679
2024-04-04T23:00:00-06:00,0,0.151,0.505
2024-04-04T23:10:00-06:00,0.01,0.211,0.541
2024-04-04T23:20:00-06:00,0.009,0.301,0.612
2024-04-04T23:30:00-06:00,0.024,0.313,0.676
2024-04-04T23:40:00-06:00,0,0.235,0.52
2024-04-04T23:50:00-06:00,0,0.186,0.564
2024-04-05T00:00:00-06:00,0,0.16999999999999998,0.445
2024-04-05T00:10:00-06:00,0.0175,0.3335,0.6565
2024-04-05T00:20:00-06:00,0.023,0.29,0.524
2024-04-05T00:30:00-06:00,0.008,0.194,0.45499999999999996
2024-04-05T00:40:00-06:00,0.02,0.41200000000000003,0.7849999999999999
2024-04-05T00:50:00-06:00,0.007,0.322,0.61
2024-04-05T01:00:00-06:00,0.088,0.434,0.745
2024-04-05T01:10:00-06:00,0,0.311,0.736
2024-04-05T01:20:00-06:00,0.047,0.22100000000000003,0.735
2024-04-05T01:30:00-06:00,0.007,0.29800000000000004,0.542
2024-04-05T01:40:00-06:00,0.005,0.23,0.5660000000000001
2024-04-05T01:50:00-06:00,0.012,0.252,0.645
2024-04-05T02:00:00-06:00,0.056,0.54,0.948
2024-04-05T02:10:00-06:00,0.067,0.43499999999999994,0.767
2024-04-05T02:20:00-06:00,0.026000000000000002,0.249,0.541
2024-04-05T02:30:00-06:00,0.025,0.388,0.819
2024-04-05T02:40:00-06:00,0.066,0.696,1.415
2024-04-05T02:50:00-06:00,0.135,0.722,1.145
2024-04-05T03:00:00-06:00,0.021,0.282,0.669
2024-04-05T03:10:00-06:00,0.01,0.452,0.964
2024-04-05T03:20:00-06:00,0.011,0.34299999999999997,0.788
2024-04-05T03:30:00-06:00,0.005,0.149,0.44
2024-04-05T03:40:00-06:00,0.003,0.179,0.505
2024-04-05T03:50:00-06:00,0,0.302,0.658
2024-04-05T04:00:00-06:00,0,0.079,0.359
2024-04-05T04:10:00-06:00,0.002,0.248,0.516
2024-04-05T04:20:00-06:00,0.028999999999999998,0.241,0.46599999999999997
2024-04-05T04:30:00-06:00,0.003,0.14400000000000002,0.32299999999999995
2024-04-05T04:40:00-06:00,0.002,0.17099999999999999,0.542
2024-04-05T04:50:00-06:00,0.009,0.098,0.28800000000000003
2024-04-05T05:00:00-06:00,0.012,0.173,0.45999999999999996
2024-04-05T05:10:00-06:00,0.02,0.119,0.431
2024-04-05T05:20:00-06:00,0.005,0.21100000000000002,0.504
2024-04-05T05:30:00-06:00,0.002,0.139,0.391
